TOWNSHIPID;TOWN_NAME_DESC
508;BOSKRUIN EXT.38
509;BOSKRUIN EXT.39
510;BOSKRUIN EXT.40
511;BOSKRUIN EXT.41
512;BOSKRUIN EXT.43
513;BOSKRUIN EXT.44
514;BOSKRUIN EXT.45
515;BOSKRUIN EXT.46
516;BOSKRUIN EXT.48
517;BOSKRUIN EXT.49
518;BOSKRUIN EXT.51
519;BOSKRUIN EXT.52
520;BOSKRUIN EXT.53
521;BOSKRUIN EXT.54
522;BOSKRUIN EXT.55
523;BOSKRUIN EXT.56
524;BOSKRUIN EXT.57
525;BOSKRUIN EXT.59
526;BOSMONT
527;BOTESDAL 529-JQ
528;BOTHASFONTEIN 408-JR
529;BOUNDARY PARK
530;BOUNDARY PARK EXT.1
531;BOUNDARY PARK EXT.4
532;BOUNDARY PARK EXT.6
533;BOUNDARY PARK EXT.14
534;BOUNDARY PARK EXT.15
535;BOUNDARY PARK EXT.16
536;BOUNDARY PARK EXT.18
537;BOUNDARY PARK EXT.31
538;BOUNDARY PARK EXT.35
539;BOUNDARY PARK EXT.38
540;BOUNDARY PARK EXT.44
541;BOUNDARY PARK EXT.46
542;BOUNDARY PARK EXT.47
543;BOUNDARY PARK EXT.53
544;BRAAMFONTEIN 53-IR
545;BRAAMFONTEIN WERF
546;BRAAMFONTEIN WERF EXT.1
547;BRAAMPARK
548;BRAM FISCHERVILLE
549;BRAM FISCHERVILLE EXT.1
550;BRAM FISCHERVILLE EXT.2
551;BRAM FISCHERVILLE EXT.3
552;BRAM FISCHERVILLE EXT.4
553;BRAM FISCHERVILLE EXT.5
554;BRAM FISCHERVILLE EXT.6
555;BRAM FISCHERVILLE EXT.8
556;BRAM FISCHERVILLE EXT.9
557;BRAM FISCHERVILLE EXT.10
558;BRAM FISCHERVILLE EXT.14
559;BRAMLEY
560;BRAMLEY EXT.1
561;BRAMLEY MANOR
562;BRAMLEY MANOR EXT.1
563;BRAMLEY NORTH
564;BRAMLEY NORTH EXT.1
565;BRAMLEY NORTH EXT.2
566;BRAMLEY PARK
567;BRAMLEY VIEW
568;BRAMLEY VIEW EXT.1
569;BRAMLEY VIEW EXT.2
570;BRAMLEY VIEW EXT.4
571;BRAMLEY VIEW EXT.6
572;BRAMLEY VIEW EXT.8
573;BRAMLEY VIEW EXT.9
574;BRAMLEY VIEW EXT.11
575;BRAMLEY VIEW EXT.12
576;BRAMLEY VIEW EXT.14
577;BRAMLEY VIEW EXT.15
578;BRAMLEY VIEW EXT.16
579;BREAU 184-IQ
580;BREAUNANDA EXT.2
581;BRECKNOCK A.H.
582;BRENDAVERE A.H.
583;BRIXTON
584;BROADACRES EXT.1
585;BROADACRES EXT.2
586;BROADACRES EXT.3
587;BROADACRES EXT.4
588;BROADACRES EXT.5
589;BROADACRES EXT.7
590;BROADACRES EXT.8
591;BROADACRES EXT.9
592;BROADACRES EXT.11
593;BROADACRES EXT.12
594;BROADACRES EXT.13
595;BROADACRES EXT.14
596;BROADACRES EXT.15
597;BROADACRES EXT.21
598;BROADACRES EXT.22
599;BROADACRES EXT.24
600;BROADACRES EXT.25
601;BROADACRES EXT.26
602;BROADACRES EXT.27
603;BROADACRES EXT.28
604;BROADACRES EXT.29
605;BROADACRES EXT.30
606;BROADACRES EXT.32
607;BROADACRES EXT.34
608;BROADACRES EXT.36
609;BROADACRES EXT.39
610;BROADACRES EXT.41
611;BROADACRES EXT.42
612;BROADACRES EXT.45
613;BROADACRES EXT.46
614;BROADACRES EXT.47
615;BROADACRES EXT.48
616;BROADACRES EXT.49
617;BROADACRES EXT.50
618;BROADACRES A.H.
619;BROADACRES A.H. EXT.1
620;BROADACRES A.H. EXT.2
621;BROADACRES PARK EXT.1
622;BROADACRES PARK EXT.10
623;BROMHOF
624;BROMHOF EXT.2
625;BROMHOF EXT.6
626;BROMHOF EXT.7
627;BROMHOF EXT.8
628;BROMHOF EXT.10
629;BROMHOF EXT.11
630;BROMHOF EXT.12
631;BROMHOF EXT.16
632;BROMHOF EXT.18
633;BROMHOF EXT.19
634;BROMHOF EXT.21
635;BROMHOF EXT.22
636;BROMHOF EXT.23
637;BROMHOF EXT.24
638;BROMHOF EXT.26
639;BROMHOF EXT.27
640;BROMHOF EXT.30
641;BROMHOF EXT.31
642;BROMHOF EXT.33
643;BROMHOF EXT.34
644;BROMHOF EXT.35
645;BROMHOF EXT.36
646;BROMHOF EXT.37
647;BROMHOF EXT.38
648;BROMHOF EXT.39
649;BROMHOF EXT.42
650;BROMHOF EXT.43
651;BROMHOF EXT.44
652;BROMHOF EXT.46
653;BROMHOF EXT.47
654;BROMHOF EXT.48
655;BROMHOF EXT.49
656;BROMHOF EXT.50
657;BROMHOF EXT.51
658;BROMHOF EXT.52
659;BROMHOF EXT.53
660;BROMHOF EXT.54
661;BROMHOF EXT.55
662;BROMHOF EXT.57
663;BROMHOF EXT.59
664;BROMHOF EXT.63
665;BROMHOF EXT.64
666;BROMHOF EXT.65
667;BROMHOF EXT.66
668;BROMHOF EXT.67
669;BROMHOF EXT.68
670;BROMHOF EXT.70
671;BRUMA
672;BRUSHWOOD HAUGH A.H.
673;BRYANBRINK
674;BRYANSTON
675;BRYANSTON EXT.1
676;BRYANSTON EXT.3
677;BRYANSTON EXT.5
678;BRYANSTON EXT.7
679;BRYANSTON EXT.8
680;BRYANSTON EXT.12
681;BRYANSTON EXT.13
682;BRYANSTON EXT.16
683;BRYANSTON EXT.18
684;BRYANSTON EXT.19
685;BRYANSTON EXT.20
686;BRYANSTON EXT.23
687;BRYANSTON EXT.25
688;BRYANSTON EXT.27
689;BRYANSTON EXT.28
690;BRYANSTON EXT.29
691;BRYANSTON EXT.30
692;BRYANSTON EXT.31
693;BRYANSTON EXT.32
694;BRYANSTON EXT.34
695;BRYANSTON EXT.35
696;BRYANSTON EXT.36
697;BRYANSTON EXT.37
698;BRYANSTON EXT.38
699;BRYANSTON EXT.39
700;BRYANSTON EXT.40
701;BRYANSTON EXT.42
702;BRYANSTON EXT.43
703;BRYANSTON EXT.44
704;BRYANSTON EXT.45
705;BRYANSTON EXT.48
706;BRYANSTON EXT.50
707;BRYANSTON EXT.52
708;BRYANSTON EXT.53
709;BRYANSTON EXT.54
710;BRYANSTON EXT.58
711;BRYANSTON EXT.59
712;BRYANSTON EXT.62
713;BRYANSTON EXT.63
714;BRYANSTON EXT.64
715;BRYANSTON EXT.65
716;BRYANSTON EXT.66
717;BRYANSTON EXT.68
718;BRYANSTON EXT.69
719;BRYANSTON EXT.70
720;BRYANSTON EXT.71
721;BRYANSTON EXT.72
722;BRYANSTON EXT.75
723;BRYANSTON EXT.77
724;BRYANSTON EXT.78
725;BRYANSTON EXT.81
726;BRYANSTON EXT.83
727;BRYANSTON EXT.84
728;BRYANSTON EXT.85
729;BRYANSTON EXT.87
730;BRYANSTON EXT.88
731;BRYANSTON EXT.90
732;BRYANSTON EXT.91
733;BRYANSTON EXT.92
734;BRYANSTON EXT.94
735;BRYANSTON EXT.95
736;BRYANSTON EXT.98
737;BRYANSTON 39-IR
738;BRYANSTON EAST
739;BRYANSTON EAST EXT.3
740;BRYANSTON EAST EXT.5
741;BRYANSTON WEST
742;BRYANSTON WEST EXT.1
743;BRYANSTON WEST EXT.2
744;BUCCLEUCH
745;BUCCLEUCH EXT.9
746;BUCCLEUCH EXT.10
747;BULTFONTEIN 533-JQ
748;BURGHERSDORP EXT.1
749;BUSH HILL ESTATE A.H.
750;BUSH HILL ESTATE A.H. EXT.1
751;CARENVALE
752;CARLSWALD A.H.
753;CARLSWALD ESTATE
754;CARLSWALD ESTATE EXT.1
755;CARLSWALD ESTATE EXT.21
756;CARLSWALD ESTATE EXT.27
757;CARLSWALD ESTATE EXT.28
758;CARLSWALD ESTATE EXT.29
759;CARLSWALD ESTATE EXT.31
760;CARLSWALD ESTATE EXT.32
761;CARLSWALD ESTATE EXT.33
762;CARLSWALD ESTATE EXT.35
763;CARLSWALD ESTATE EXT.42
764;CARLSWALD ESTATE EXT.43
765;CARLSWALD ESTATE EXT.48
766;CARLSWALD ESTATE EXT.54
767;CASEY PARK
768;CHARTWELL EXT.1
769;CHARTWELL EXT.6
770;CHARTWELL EXT.10
771;CHARTWELL EXT.14
772;CHARTWELL EXT.15
773;CHARTWELL EXT.19
774;CHARTWELL EXT.21
775;CHARTWELL A.H.
776;CHELTONDALE
777;CHELTONDALE EXT.1
778;CHELTONDALE EXT.2
779;CHELTONDALE EXT.3
780;CHIAWELO
781;CHIAWELO EXT.1
782;CHIAWELO EXT.2
783;CHIAWELO EXT.3
784;CHIAWELO EXT.4
785;CHIAWELO EXT.5
786;CHISLEHURSTON
787;CHISLEHURSTON EXT.1
788;CHRISVILLE
789;CITY AND SUBURBAN
790;CITY AND SUBURBAN EXT.1
791;CITY AND SUBURBAN EXT.2
792;CITY AND SUBURBAN EXT.3
793;CITY AND SUBURBAN EXT.4
794;CITY AND SUBURBAN EXT.5
795;CITY AND SUBURBAN EXT.6
796;CITY AND SUBURBAN EXT.7
797;CITY AND SUBURBAN EXT.9
798;CITY AND SUBURBAN INDUSTRIAL
799;CITY DEEP
800;CITY DEEP EXT.1
801;CITY DEEP EXT.2
802;CITY DEEP EXT.3
803;CITY DEEP EXT.4
804;CITY DEEP EXT.5
805;CITY DEEP EXT.6
806;CITY DEEP EXT.7
807;CITY DEEP EXT.8
808;CITY DEEP EXT.10
809;CITY DEEP EXT.11
810;CITY DEEP EXT.12
811;CITY DEEP EXT.13
812;CITY DEEP EXT.14
813;CITY DEEP EXT.15
814;CITY DEEP EXT.16
815;CITY DEEP EXT.17
816;CITY DEEP EXT.18
817;CITY DEEP EXT.19
818;CITY DEEP EXT.20
819;CITY DEEP EXT.21
820;CITY DEEP EXT.22
821;CITY DEEP EXT.23
822;CITY DEEP EXT.24
823;CITY DEEP EXT.26
824;CITY DEEP EXT.28
825;CITY DEEP EXT.29
826;CITY DEEP 713-IR
827;CITY WEST
828;CLAREMONT
829;CLEVEDEN
830;CLEVELAND
831;CLEVELAND EXT.1
832;CLEVELAND EXT.2
833;CLEVELAND EXT.3
834;CLEVELAND EXT.4
